Month,Year,Existing Stores,New Stores
9,2016,20640047.3199708,2821052.99517613
11,2016,20858119.95754,2708276.94055952
12,2016,21255190.2449756,2718828.39711761
7,2016,26705092.5563487,2953317.28449881
3,2016,23735686.9387899,2719678.80076033
2,2016,21146329.6319817,2696833.28710321
5,2016,25621828.7250966,2832644.30934907
8,2016,23440761.3295266,2915367.23335491
1,2016,21829060.031666,2786991.73273087
10,2016,20086270.4620746,2727588.81504019
4,2016,22409515.2844737,2829740.79103282
6,2016,26307858.0400465,2669943.17217349
